id,nume,post,iesiri_din_poarta,plonjari,goluri_primite,minute_jucate,boxari,parade,pase_gol,sanse_create,goluri,precizie_pase,suturi,suturi_blocate,precizie_suturi,centrari,pase_cheie,mingi_profunzime,pase,dueluri_aeriene_pierdute,dueluri_aeriene_castigate,degajari,deposedat,driblinguri_incercate,driblinguri_reusite,dueluri_pierdute,dueluri_castigate,faulturi,interceptii,recuperari,deposedari_incercate,deposedari_reusite,faultat,cartonase_galbene,cartonase_rosii,rating
169200,Kevin De Bruyne,mijlocas,0,0,0,76,0,0,1,0,0,81,2,0,0,11,5,7,47,0,0,2,0,3,2,5,5,2,0,5,3,1,0,0,0,8.5
178818,Ilkay Gündogan,mijlocas,0,0,0,90,0,0,0,0,1,93,2,1,50,0,2,8,102,2,2,1,0,1,0,6,3,1,2,8,0,0,1,1,0,8.3
37459,David Silva,mijlocas,0,0,0,90,0,0,0,0,1,80,3,1,33,0,2,3,56,0,0,1,1,4,4,3,5,1,2,5,1,0,0,0,0,8.5
488139,Bernardo Silva,atacant,0,0,0,90,0,0,0,0,0,84,2,1,0,4,4,2,45,0,0,1,1,3,3,2,6,0,0,5,2,0,1,0,0,7.8
576165,Gabriel Jesus,atacant,0,0,0,90,0,0,0,0,0,86,4,0,50,0,2,0,21,2,3,1,0,1,0,4,3,1,1,0,0,0,0,0,0,7.7
246575,Raheem Sterling,atacant,0,0,0,76,0,0,0,1,1,82,4,2,25,1,3,0,38,0,0,1,5,0,0,6,2,1,0,4,1,1,1,0,0,7.7
72241,Martin Dubravka,portar,0,0,0,90,1,4,0,0,0,0,0,0,0,0,0,19,31,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,5.1
432040,DeAndre Yedlin,fundas,0,0,0,90,0,0,0,0,0,72,0,0,0,5,1,4,32,2,1,1,0,0,0,3,4,0,0,2,1,1,2,0,0,6.7
155050,Federico Fernández,fundas,0,0,0,90,0,0,1,0,0,80,0,0,0,2,1,2,46,0,3,9,0,0,0,2,7,1,0,2,4,2,0,0,0,7.9
279489,Jamaal Lascelles,fundas,0,0,0,90,0,0,0,0,1,91,2,0,50,0,0,5,33,1,3,3,0,0,0,1,4,0,1,5,0,0,1,1,0,7.6
161414,Ciaran Clark,fundas,0,0,0,90,0,0,0,0,0,88,0,0,0,0,0,3,34,4,5,5,0,0,0,7,8,1,2,4,1,1,2,1,0,6.9
240205,Jetro Willems,fundas,0,0,0,90,0,0,0,0,0,70,2,0,50,3,1,2,30,3,2,1,0,2,2,6,11,1,0,7,5,3,2,0,0,7.4
442277,Miguel Almiron,mijlocas,0,0,0,90,0,0,0,0,0,83,2,0,0,1,2,0,30,0,2,2,3,1,1,6,9,1,1,5,2,2,4,0,0,6.9
961343,Matthew Longstaff,mijlocas,0,0,0,89,0,0,0,1,0,85,0,0,0,0,1,4,48,1,0,0,1,1,1,3,1,0,0,6,0,0,0,0,0,6.2
820024,Sean Longstaff,mijlocas,0,0,0,82,0,0,0,0,0,79,3,1,0,7,2,7,63,3,1,1,2,2,0,10,3,2,1,6,0,0,2,0,1,4.9
466482,Allan Saint-Maximin,mijlocas,0,0,0,89,0,0,0,0,0,78,3,1,0,3,1,1,18,3,2,0,2,11,7,9,11,0,0,4,0,0,2,0,0,6.9
535936,Joelinton,atacant,0,0,0,85,0,0,0,0,0,67,1,0,0,0,1,0,30,5,11,2,3,2,1,10,12,1,0,1,0,0,0,0,0,6.7
363318,Sam Byram,fundas,0,0,0,24,0,0,0,0,0,70,0,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,5.6
189909,Marco Stiepermann,mijlocas,0,0,0,45,0,0,0,0,0,74,0,0,0,0,1,1,19,0,0,1,2,2,1,5,1,2,0,4,0,0,0,0,0,5.5
229711,Onel Hernández,atacant,0,0,0,45,0,0,0,0,1,67,5,1,40,4,0,2,9,0,0,0,2,8,3,9,4,2,1,6,0,0,1,0,0,6.6
24229,Tim Krul,portar,0,6,0,90,1,8,0,0,0,0,0,0,0,0,0,12,25,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,9.1
956621,Max Aarons,fundas,0,0,0,90,0,0,0,1,0,88,0,0,0,0,2,1,33,2,0,2,2,5,4,7,8,1,1,5,3,3,1,1,0,6.3
369788,Ibrahim Amadou,fundas,0,0,0,90,0,0,0,0,0,92,0,0,0,0,0,2,37,1,0,5,0,0,0,1,1,0,0,3,1,1,0,0,0,5.3
662936,Ben Godfrey,fundas,0,0,0,90,0,0,0,0,0,91,0,0,0,0,0,6,55,0,1,2,0,1,1,1,5,1,1,10,3,2,0,1,0,6
864983,Jamal Lewis,fundas,0,0,0,66,0,0,0,0,0,50,1,0,0,0,0,4,30,0,0,0,1,0,0,1,2,0,0,2,1,0,1,0,0,5.5
40100,Alexander Tettey,mijlocas,0,0,0,90,0,0,0,0,0,84,0,0,0,0,0,5,45,1,1,4,0,0,0,3,5,0,2,12,3,2,1,0,0,6
610184,Emiliano Buendia,atacant,0,0,0,90,0,0,0,0,0,82,0,0,0,2,2,5,49,1,0,0,4,6,4,17,12,4,0,6,5,2,3,0,0,6
212892,Moritz Leitner,mijlocas,0,0,0,45,0,0,0,0,0,80,0,0,0,0,0,0,20,0,0,0,0,0,0,1,2,0,0,2,1,1,1,0,0,5.9
190851,Kenny McLean,mijlocas,0,0,0,90,0,0,0,0,0,77,0,0,0,0,0,4,43,0,2,1,1,0,0,5,12,1,1,8,8,3,2,0,0,6.7
789593,Todd Cantwell,atacant,0,0,0,45,0,0,0,0,0,71,2,0,50,0,1,0,14,0,0,0,1,1,0,5,0,2,1,1,0,0,0,0,0,4.5
66578,Teemu Pukki,atacant,0,0,0,90,0,0,0,0,0,83,2,0,0,0,0,0,18,1,0,0,1,0,0,4,1,0,0,2,1,0,0,0,0,5.7
215387,Jack Stephens,fundas,0,0,0,45,0,0,0,0,0,50,0,0,0,0,0,2,16,0,0,1,0,1,1,1,5,0,3,2,3,2,1,0,0,6.7
754126,Kevin Danso,fundas,0,0,0,45,0,0,0,0,0,79,0,0,0,0,1,1,14,0,2,3,1,0,0,2,2,0,0,2,0,0,0,0,0,5.9
237563,Stuart Armstrong,mijlocas,0,0,0,20,0,0,0,0,0,89,0,0,0,1,0,0,9,0,0,0,1,0,0,3,1,0,1,4,0,0,1,0,0,5.5
760746,Angus Gunn,portar,0,1,9,90,0,6,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,1,0,0,8,1,1,0,0,0,2.3
490868,Jan Bednarek,fundas,0,0,0,90,0,0,0,0,0,61,0,0,0,0,0,4,23,2,1,6,0,1,1,5,6,2,2,6,4,2,0,0,0,5
72665,Maya Yoshida,fundas,0,0,0,90,0,0,0,0,0,63,0,0,0,0,0,12,27,0,0,2,1,1,1,3,3,0,1,4,1,1,1,0,0,4.3
205893,Jannik Vestergaard,fundas,0,0,0,45,0,0,0,0,0,53,0,0,0,0,0,4,15,0,1,3,0,0,0,1,1,0,0,2,0,0,0,0,0,4
789596,Yan Valery,fundas,0,0,0,70,0,0,0,0,0,39,1,0,100,1,0,3,18,3,1,2,4,6,4,12,9,0,0,3,2,1,2,0,0,4.8
279490,James Ward-Prowse,mijlocas,0,0,0,90,0,0,0,0,0,75,2,1,50,3,0,2,28,1,1,1,2,2,2,5,8,0,5,10,3,1,2,0,0,7
212470,Oriol Romeu,mijlocas,0,0,0,90,0,0,0,0,0,72,0,0,0,0,0,5,32,0,0,0,0,1,1,7,4,0,3,5,2,1,1,0,0,6.2
266523,Pierre-Emile Højbjerg,mijlocas,0,0,0,90,0,0,0,0,0,80,0,0,0,0,3,2,30,1,1,0,2,4,3,6,4,0,1,8,0,0,0,0,0,6.4
46010,Ryan Bertrand,fundas,0,0,0,12,0,0,0,0,0,50,0,0,0,0,0,1,2,0,0,0,2,0,0,3,1,0,0,1,1,0,0,0,1,4.3
214426,Danny Ings,atacant,0,0,0,45,0,0,0,0,0,60,1,0,0,0,0,1,10,1,1,0,3,4,1,8,4,0,0,4,1,1,1,0,0,5.2
201664,Nathan Redmond,mijlocas,0,0,0,90,0,0,0,0,0,78,2,0,50,2,0,1,27,2,2,0,3,6,5,7,11,1,1,7,2,2,2,0,0,6.7
261609,Dimitri Foulquier,fundas,0,0,0,17,0,0,0,0,0,80,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
